accession,comment,created,strain,organism,mol_type,isolation_source,db_xref,country,collection_date,collected_by,gi,length,other_seqids,updated,date,region,host,division,note,serotype,G,P
LC169879,,13-SEP-2016,LC169879,Rotavirus A RVA/Human-wt/THA/PCB-85/2013/G8P[8],genomic RNA,stool,taxon:1882328,Thailand,2013,,1063758885,1062,"{'dbj': ['LC169879.1'], 'gi': ['1063758885']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169901,,13-SEP-2016,LC169901,Rotavirus A RVA/Human-wt/THA/SKT-107/2013/G8P[8],genomic RNA,stool,taxon:1882330,Thailand,2013,,1063758901,1062,"{'dbj': ['LC169901.1'], 'gi': ['1063758901']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169912,,13-SEP-2016,LC169912,Rotavirus A RVA/Human-wt/THA/SWL-12/2013/G8P[8],genomic RNA,stool,taxon:1882331,Thailand,2013,,1063758923,1062,"{'dbj': ['LC169912.1'], 'gi': ['1063758923']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169923,,13-SEP-2016,LC169923,Rotavirus A RVA/Human-wt/THA/NP-130/2014/G8P[8],genomic RNA,stool,taxon:1882332,Thailand,2014,,1063758945,1062,"{'dbj': ['LC169923.1'], 'gi': ['1063758945']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169956,,13-SEP-2016,LC169956,Rotavirus A RVA/Human-wt/THA/SSKT-269/2014/G8P[8],genomic RNA,stool,taxon:1882335,Thailand,2014,,1063759011,1062,"{'dbj': ['LC169956.1'], 'gi': ['1063759011']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169890,,13-SEP-2016,LC169890,Rotavirus A RVA/Human-wt/THA/PCB-103/2013/G8P[8],genomic RNA,stool,taxon:1882329,Thailand,2013,,1063759442,1062,"{'dbj': ['LC169890.1'], 'gi': ['1063759442']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
KX632248,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632248,Rotavirus A,mRNA,feces,taxon:28875,Uganda,17-Mar-2013,,1217097226,1062,"{'gb': ['KX632248.1'], 'gi': ['1217097226']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9,P8
KX632259,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632259,Rotavirus A,mRNA,feces,taxon:28875,Uganda,21-Mar-2013,,1217097248,1062,"{'gb': ['KX632259.1'], 'gi': ['1217097248']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G8-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P6
KX632270,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632270,Rotavirus A,mRNA,feces,taxon:28875,Uganda,15-Jan-2013,,1217097270,1062,"{'gb': ['KX632270.1'], 'gi': ['1217097270']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12,P6
KX632281,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632281,Rotavirus A,mRNA,feces,taxon:28875,Uganda,05-Jan-2013,,1217097292,1062,"{'gb': ['KX632281.1'], 'gi': ['1217097292']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G3-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G3-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G3,P6
KX632336,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632336,Rotavirus A,mRNA,feces,taxon:28875,Uganda,15-Nov-2012,,1217097402,1062,"{'gb': ['KX632336.1'], 'gi': ['1217097402']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G3-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G3-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G3,P6
KX655444,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655444,Rotavirus A,mRNA,feces,taxon:28875,Uganda,10-Jan-2013,,1217097450,1062,"{'gb': ['KX655444.1'], 'gi': ['1217097450']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample was collected from a child hospitalized with diarrhea. Sequence data showed the sample had mixtures of two genes of the same genotype encoding VP7,VP4 and VP1.
genotype: G3,G3-P[6],P[6]-I2-R2,R2-C2-M2-A2-N2-T2-E2-H2","G3,G3-P[6],P[6]-I2-R2,R2-C2-M2-A2-N2-T2-E2-H2",G3,None
KX655445,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655445,Rotavirus A,mRNA,feces,taxon:28875,Uganda,10-Jan-2013,,1217097452,1062,"{'gb': ['KX655445.1'], 'gi': ['1217097452']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample was collected from a child hospitalized with diarrhea. Sequence data showed the sample had mixtures of two genes of the same genotype encoding VP7,VP4 and VP1.
genotype: G3,G3-P[6],P[6]-I2-R2,R2-C2-M2-A2-N2-T2-E2-H2","G3,G3-P[6],P[6]-I2-R2,R2-C2-M2-A2-N2-T2-E2-H2",G3,None
KX655456,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655456,Rotavirus A,mRNA,feces,taxon:28875,Uganda,24-Jan-2013,,1217097474,1062,"{'gb': ['KX655456.1'], 'gi': ['1217097474']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample collected from child hospitalized with diarrhea;
genotype: G8-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2",G8-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P6
KX655467,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655467,Rotavirus A,mRNA,feces,taxon:28875,Uganda,29-Aug-2013,,1217097496,1062,"{'gb': ['KX655467.1'], 'gi': ['1217097496']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample collected from a child hospitalized with diarrhea;
genotype: G8-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2",G8-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P4
KX655478,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655478,Rotavirus A,mRNA,feces,taxon:28875,Uganda,26-Nov-2012,,1217097518,1062,"{'gb': ['KX655478.1'], 'gi': ['1217097518']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample collected from a child hospitalized with diarrhea;
genotype: G3-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2",G3-P[6]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G3,P6
KX655489,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655489,Rotavirus A,mRNA,feces,taxon:28875,Uganda,15-Apr-2013,,1217097540,1062,"{'gb': ['KX655489.1'], 'gi': ['1217097540']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample collected from a child hospitalized with diarrhea;
genotype: G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1",G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12,P6
KX655500,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655500,Rotavirus A,mRNA,feces,taxon:28875,Uganda,04-Jan-2013,,1217097562,1062,"{'gb': ['KX655500.1'], 'gi': ['1217097562']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample collected from a child hospitalised with diarrhea;
genotype: G8-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2",G8-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P4
KX655511,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655511,Rotavirus A,mRNA,feces,taxon:28875,Uganda,15-Apr-2013,,1217097584,1062,"{'gb': ['KX655511.1'], 'gi': ['1217097584']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample was collected from a child hospitalized with diarrhea;
genotype: G9-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2",G9-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G9,P8
KX655522,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655522,Rotavirus A,mRNA,feces,taxon:28875,Uganda,05-Jul-2013,,1217097606,1062,"{'gb': ['KX655522.1'], 'gi': ['1217097606']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens,,"Sample collected from a child hospitalized with diarrhea;
genotype: G8-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2",G8-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P4
KX655533,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX655533,Rotavirus A,mRNA,feces,taxon:28875,Uganda,09-Jan-2013,,1217097628,1062,"{'gb': ['KX655533.1'], 'gi': ['1217097628']}",24-JUL-2017,2017-07-24,Africa,Bos taurus,,genotype: G12-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12,P8
MG066590,,25-MAR-2018,MG066590,Porcine rotavirus A,genomic RNA,fecal sample,taxon:10967,China,May-2017,Hu Huan,1366925977,1062,"{'gb': ['MG066590.1'], 'gi': ['1366925977']}",25-MAR-2018,2018-03-25,Asia,pig,,,,,
MH399892,Sequencing Technology :: Sanger dideoxy sequencing,03-FEB-2019,MH399892,Porcine rotavirus A,genomic RNA,Intestine tissues,taxon:10967,China,Jul-2016,,1563360278,1062,"{'gb': ['MH399892.1'], 'gi': ['1563360278']}",03-FEB-2019,2019-02-03,Asia,pig,,,,,
MK376897,Assembly Method :: Tadpole assembler v. 37.64; Geneious Mapper v. 11.1.4 ; Assembly Name :: BD_ROTA_CVASU_G6P11 ; Sequencing Technology :: Illumina,31-DEC-2020,MK376897,Rotavirus A,genomic RNA,rectal swab,taxon:28875,Bangladesh,2016,,1727118298,1062,"{'gb': ['MK376897.1'], 'gi': ['1727118298']}",31-DEC-2020,2020-12-31,Asia,Bos indicus,,genotype: G6P[11],G6P[11],G6,P11
MN102373,Assembly Method :: CLC Genomics Workbench v. 7.5.1 ; Sequencing Technology :: Illumina; Sanger dideoxy sequencing,21-JAN-2020,MN102373,Rotavirus A,genomic RNA,feces,taxon:28875,Ghana,Jun-2016,,1798052702,1062,"{'gb': ['MN102373.1'], 'gi': ['1798052702']}",21-JAN-2020,2020-01-21,Africa,Sus scrofa domesticus,Accra,,,,
MT066207,Assembly Method :: Lasergene DNAstar NGen software v. V15 ; Assembly Name :: Rotavirus A strain RVA/Porcine/CH/OSU/2020/serotype 5 ; Coverage :: cds ; Sequencing Technology :: Illumina,02-DEC-2020,MT066207,Rotavirus A,genomic RNA,,taxon:28875,Switzerland,2020,,1938234228,1062,"{'gb': ['MT066207.1'], 'gi': ['1938234228']}",02-DEC-2020,2020-12-02,Europe,,,"Sequenced from the rotavirus collection of Dr. Alfred Metzler, Institute of Virology, University of Zurich, Zurich, Switzerland",,,
LC569896,,16-JAN-2021,LC569896,Rotavirus A,genomic RNA,stool,taxon:28875,Thailand,2015-07,,1957272482,1062,"{'dbj': ['LC569896.1'], 'gi': ['1957272482']}",16-JAN-2021,2021-01-16,Asia,Homo sapiens,Chanthaburi,genotypes: G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1,G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1,G4,P6
AF501578,,02-MAY-2003,AF501578,Human rotavirus A,mRNA,,taxon:10941,India,,,30315137,1061,"{'gb': ['AF501578.1'], 'gi': ['30315137']}",20-APR-2004,2004-04-20,Asia,,Manipur,type: G9; subgroup: I,G9,G9,None
AB180971,,08-JUN-2004,AB180971,Porcine rotavirus A,genomic RNA,,taxon:10967,,,,48474044,1061,"{'dbj': ['AB180971.1'], 'gi': ['48474044']}",01-OCT-2016,2016-10-01,No information,,,,,,
AY707787,,22-SEP-2004,AY707787,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,,,52219420,1061,"{'gb': ['AY707787.1'], 'gi': ['52219420']}",22-SEP-2004,2004-09-22,Asia,,,,,,
AB176677,,08-MAR-2005,AB176677,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,,,60592516,1061,"{'dbj': ['AB176677.1'], 'gi': ['60592516']}",05-OCT-2006,2006-10-05,Asia,,,genotype G9,G9,G9,None
AB176678,,08-MAR-2005,AB176678,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,,,60592518,1061,"{'dbj': ['AB176678.1'], 'gi': ['60592518']}",05-OCT-2006,2006-10-05,Asia,,,genotype G9,G9,G9,None
AB176679,,08-MAR-2005,AB176679,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,,,60592520,1061,"{'dbj': ['AB176679.1'], 'gi': ['60592520']}",05-OCT-2006,2006-10-05,Asia,,,genotype G9,G9,G9,None
AB176680,,08-MAR-2005,AB176680,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,,,60592522,1061,"{'dbj': ['AB176680.1'], 'gi': ['60592522']}",05-OCT-2006,2006-10-05,Asia,,,genotype G9,G9,G9,None
AB176681,,08-MAR-2005,AB176681,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,,,60592524,1061,"{'dbj': ['AB176681.1'], 'gi': ['60592524']}",05-OCT-2006,2006-10-05,Asia,,,genotype G9,G9,G9,None
AB176682,,08-MAR-2005,AB176682,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,,,60592526,1061,"{'dbj': ['AB176682.1'], 'gi': ['60592526']}",05-OCT-2006,2006-10-05,Asia,,,genotype G9,G9,G9,None
AB176683,,08-MAR-2005,AB176683,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,,,60592528,1061,"{'dbj': ['AB176683.1'], 'gi': ['60592528']}",05-OCT-2006,2006-10-05,Asia,,,genotype G9,G9,G9,None
EU828784,,28-JUL-2008,EU828784,Bovine rotavirus,genomic RNA,,taxon:10927,China,01-Jul-2007,,194368359,1061,"{'gb': ['EU828784.1'], 'gi': ['194368359']}",28-JUL-2008,2008-07-28,Asia,bovine,,passaged in MA104 cells,,,
JF796706,,07-AUG-2011,JF796706,Porcine rotavirus A,genomic RNA,,taxon:10967,South Korea,2006,,342307498,1061,"{'gb': ['JF796706.1'], 'gi': ['342307498']}",04-SEP-2012,2012-09-04,Asia,pig,,genotype: G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9,P23
JF796717,,07-AUG-2011,JF796717,Porcine rotavirus A,genomic RNA,,taxon:10967,South Korea,2006,,342307500,1061,"{'gb': ['JF796717.1'], 'gi': ['342307500']}",04-SEP-2012,2012-09-04,Asia,pig,,genotype: G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9,P23
JF796728,,07-AUG-2011,JF796728,Porcine rotavirus A,genomic RNA,,taxon:10967,South Korea,2006,,342307502,1061,"{'gb': ['JF796728.1'], 'gi': ['342307502']}",04-SEP-2012,2012-09-04,Asia,pig,,genotype: G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9,P23
JF796739,,07-AUG-2011,JF796739,Porcine rotavirus A,genomic RNA,,taxon:10967,South Korea,2006,,342307504,1061,"{'gb': ['JF796739.1'], 'gi': ['342307504']}",04-SEP-2012,2012-09-04,Asia,pig,,genotype: G9-P[7]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9-P[7]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G9,P7
JX498942,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498942,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183912,1061,"{'gb': ['JX498942.1'], 'gi': ['409183912']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498943,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498943,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183914,1061,"{'gb': ['JX498943.1'], 'gi': ['409183914']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498944,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498944,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183916,1061,"{'gb': ['JX498944.1'], 'gi': ['409183916']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498945,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498945,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183918,1061,"{'gb': ['JX498945.1'], 'gi': ['409183918']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498946,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498946,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183920,1061,"{'gb': ['JX498946.1'], 'gi': ['409183920']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498947,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498947,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183922,1061,"{'gb': ['JX498947.1'], 'gi': ['409183922']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498948,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498948,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183924,1061,"{'gb': ['JX498948.1'], 'gi': ['409183924']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498949,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498949,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183926,1061,"{'gb': ['JX498949.1'], 'gi': ['409183926']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498950,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498950,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183928,1061,"{'gb': ['JX498950.1'], 'gi': ['409183928']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498951,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498951,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183930,1061,"{'gb': ['JX498951.1'], 'gi': ['409183930']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498952,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498952,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183932,1061,"{'gb': ['JX498952.1'], 'gi': ['409183932']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
JX498953,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498953,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183934,1061,"{'gb': ['JX498953.1'], 'gi': ['409183934']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G9,G9,G9,None
KC113248,Assembly Method :: DNAMAN v. 5.0 ; Sequencing Technology :: 454,08-JUL-2013,KC113248,Porcine rotavirus A,mRNA,,taxon:10967,China,Dec-2009,,520688660,1061,"{'gb': ['KC113248.1'], 'gi': ['520688660']}",08-JUL-2013,2013-07-08,Asia,porcine,,,,,
LC169934,,13-SEP-2016,LC169934,Rotavirus A RVA/Human-wt/THA/PCB-656/2014/G8P[8],genomic RNA,stool,taxon:1882333,Thailand,2014,,1063758967,1061,"{'dbj': ['LC169934.1'], 'gi': ['1063758967']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169978,,13-SEP-2016,LC169978,Rotavirus A RVA/Human-wt/THA/LS-202/2014/G2P[4],genomic RNA,stool,taxon:1882337,Thailand,2014,,1063759055,1061,"{'dbj': ['LC169978.1'], 'gi': ['1063759055']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G2-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G2-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G2,P4
KX632292,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632292,Rotavirus A,mRNA,feces,taxon:28875,Uganda,05-Jan-2013,,1217097314,1061,"{'gb': ['KX632292.1'], 'gi': ['1217097314']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9,P8
KX632303,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632303,Rotavirus A,mRNA,feces,taxon:28875,Uganda,28-Dec-2012,,1217097336,1061,"{'gb': ['KX632303.1'], 'gi': ['1217097336']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9,P8
KX632314,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632314,Rotavirus A,mRNA,feces,taxon:28875,Uganda,06-Nov-2012,,1217097358,1061,"{'gb': ['KX632314.1'], 'gi': ['1217097358']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9,P8
KX632325,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632325,Rotavirus A,mRNA,feces,taxon:28875,Uganda,07-Mar-2013,,1217097380,1061,"{'gb': ['KX632325.1'], 'gi': ['1217097380']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G9,P8
KX632347,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,24-JUL-2017,KX632347,Rotavirus A,mRNA,feces,taxon:28875,Uganda,04-Jan-2013,,1217097424,1061,"{'gb': ['KX632347.1'], 'gi': ['1217097424']}",24-JUL-2017,2017-07-24,Africa,Homo sapiens; child hospitalized with diarrhea,,genotype: G1-P[8]-I1-R1-C2-M1-A1-N1-T1-E1-H1,G1-P[8]-I1-R1-C2-M1-A1-N1-T1-E1-H1,G1,P8
MH137265,,04-APR-2018,MH137265,Porcine rotavirus A,genomic RNA,feces sample,taxon:10967,China,May-2017,Hu Huan,1372197609,1061,"{'gb': ['MH137265.1'], 'gi': ['1372197609']}",04-APR-2018,2018-04-04,Asia,pig,"Huili,Sichuan",genotype: G9-P[23]-I1-R1-C1-M1-A8-N1-T1-E1-H1,G9-P[23]-I1-R1-C1-M1-A8-N1-T1-E1-H1,G9,P23
LC055552,,03-JUN-2015,LC055552,Human rotavirus A,genomic RNA,stool,taxon:10941,Thailand,2012,,827884624,1060,"{'dbj': ['LC055552.1'], 'gi': ['827884624']}",10-OCT-2015,2015-10-10,Asia,Homo sapiens,Sukhothai,genotypes: G6-P[14]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G6-P[14]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G6,P14
LC169989,,13-SEP-2016,LC169989,Rotavirus A RVA/Human-wt/THA/LS-L7/2014/G2P[4],genomic RNA,stool,taxon:1882338,Thailand,2014,,1063759077,1060,"{'dbj': ['LC169989.1'], 'gi': ['1063759077']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G2-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G2-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G2,P4
